Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL MARIA INMACULADA,307.4262,2.0,4.790000000000001,10.0,6.0,10.0,4.35,6.75
COL MAYOR JOSE CELESTINO MUTIS,294.4545,0.0,7.05,10.0,5.0,9.0,4.15,8.25
LIC PSICOPEDAG TIBABITA,273.6176,10.0,10.0,10.0,5.0,8.0,3.55,7.5
COL DE LA PRESENTACION SANS FACON,328.8586,0.0,9.15,10.0,5.0,10.0,4.5,8.0
LIC  DE CERVANTES PADRES AGUSTINOS,357.0,8.0,8.59,10.0,5.0,10.0,5.3500000000000005,7.25
COL PROVINMA,317.95829999999995,8.0,8.14,10.0,5.0,10.0,4.2,5.5
CENT EDUC NAL PILOTO BAVARIA,256.83209999999997,0.0,3.85,10.0,6.0,10.0,4.7,6.5
COL DIST TOBERIN,265.36609999999996,4.0,9.030000000000001,10.0,7.0,10.0,4.6,7.75
SALUDCOOP NORTE (INST EDUC DIST),269.81579999999997,8.0,6.8,10.0,5.0,10.0,4.3500000000000005,9.5
CENT EDUC DIST DE USAQUEN (ANTIGUA COLONIA ESCOLAR DE VACACI,282.3152,10.0,8.95,10.0,5.0,10.0,4.3,6.75
CENT EDUC DIST PRADO VERANIEGO II,278.2679,0.0,8.7,8.0,5.0,10.0,6.05,7.0
